scientific_name,common_name_preferred
Acacia leucocephala,
Aegle marmelos,Vilvam (Bael)
Albizia amara,
Albizia lebbeck,Siris (Frywood)
Albizia saman,
Annona squamosa,Sitaphal (Sugar apple)
Anthocephalus sp.,
Areca catechu,Arecanut (Pakku)
Artocarpus heterophyllus,Palapazham (Jackfruit)
Azadirachta indica,Vembu (Neem)
Bambusa bambos,
Bauhinia purpurea,Purple orchid tree
Bauhinia racemosa,
Borasus flabellifer,
Butea monosperma,
Caesalpinia pulcherrima,
Calophyllum innophyllum,
Calophyllum inophyllum,Punnai
Cardia dichotoma,
Cardia obligua,
Caryota,
Caryota urens,Kitthul (Fishtail palm)
Cascabela thevetia,
Cassia fistula,Kondrai (Indian laburnum)
Cassia siamea,Siamese cassia
Casuarina equisetifolia,
Ceiba pentantra,
Citrus  limon,
Citrus aurantifolia,
Citrus medica,
Citrus sp,
Cocos nucifera,Tennai (Coconut)
Commiphora caudata,
Corchorus hirstus,
Coroupita guianensis,
Crateva adansonii,
Crescentia alata,
Dalbergia latifolia,
Dalbergia sisoo,
Delonix elata,
Delonix regia,Gulmohar
Ficus benghalensis,Aala maram (Banyan)
Ficus racemosa,Aththi (Cluster fig)
Ficus religiosa,Arasa maram (Peepal)
Ficus tomentosa,
Gauzuma ulmifolia,
Gliricidia sepium,
Gmelina arborea,
Guazuma ulmifolia,
Haldina cordifolia,
Hardwickia binata,
Holoptelia integrifolia,
Lannea coromendelica,
Leucaena leucocephala,
Limonia acidissima,
Madhuca longifolia,Illuppai (Mahua)
Magnifera indica,Mango
Mangifera indica,Mango
Manilkara zapota,
Melia azedarch,
Michelia champaca,Champak
Millingtonia hortensis,Indian cork tree
Mimusops elengi,Magizham (Spanish cherry)
Morinda pubescens,
Moringa oleifera,Murungai (Drumstick)
Muntingia calabura,
Murrya koenigi,
Neolamarkia sp,
Nyctanthes arbor-tristis,Pavazhamalli (Night-flowering jasmine)
Peltophorum pterocarpum,Copperpod (Yellow flame)
Persea americana,
Phyllanthus acidus,
Phyllanthus emblica,
Pisonia alba,
Pithecellopium dulce,
Plumaria obtusa,
Polyalthia longifolia,Indian mast tree
Pongamia pinnata,Pungai (Indian beech)
Prosopis cineraria,
Psidium guajava,Koyya (Guava)
Pterocarpus marsupium,
Pterocarpus santalinus,
Santalum album,Santhana maram (Sandalwood)
Sapindus emarginatus,
Senna siamea,
Simaruba glauca,
Spathodea companulata,
Stereospermum chelonoides,
Strichnos nuxvomica,
Swietenia macrophylla,
Syzygium cumini,Naval (Jamun)
Tabernaemontana divaricata,
Tamarindus indica,Puli (Tamarind)
Tecoma stans,
Tectona grandis,Teak
Terminalia arjuna,
Terminalia bellerica,
Terminalia catappa,Indian almond
Thespesia populnea,Poovarasu (Portia)
Vitex altissima,
Vitex negundo,
Wrightia tinctoria,Veppalai (Pala indigo)
Zizyphus xylopyrus,
adenanthera pavonina,
others,
